Company Name,Website,City,Employees,Owner,List Source
Northgate Roofing Ltd,https://www.northgate-roofing.co.uk,Southampton,161,Nina Bell,Chamber list
Ravenspath Print Group,http://ravenspathprint.com/,Leeds,139,Marcus Bright,Chamber list
Atlaswick Insurance Brokers Inc,https://atlaswickinsurance.com/contact-us,Boston,384,Ellie Marsh,LinkedIn scrape
Upton Garden Centre Inc,uptongarden.com,Cardiff,247,Owen Pryce,Trade show 2026
Tarnbrookstead Groundworks Ltd, tarnbrooksteadgroundworks.com ,Glasgow,20,Ellie Marsh,Chamber list
Redlandmere Removals Ltd, redlandmereremovals.com ,Boston,51,Priya Raman,Referral
Jarrowcrest Roofing Limited,http://jarrowcrestroofing.co.uk/,Leeds,33,Tom Alderton,Trade show 2026
Jarrowfield Studio Ltd,https://jarrowfieldstudio.com/contact-us,Leeds,107,Tom Alderton,LinkedIn scrape
Pinnacle Scaffolding Ltd,https://www.pinnacle-scaffolding.co.uk,Dublin,276,Priya Raman,Chamber list
Pennineholt Electrical LLP,pennineholtelectrical.co.uk,Nottingham,34,Priya Raman,Chamber list
Valleywood HVAC Ltd,www.valleywoodhvac.co.uk,Manchester,47,Hana Sato,Inbound
Crestline HVAC,https://crestlinehvac.com/contact-us,Glasgow,95,Priya Raman,LinkedIn scrape
Quarrywood Scaffolding,www.quarrywoodscaffolding.co.uk,Glasgow,384,Tom Alderton,Chamber list
Ludlow Catering Limited,http://ludlowcatering.co.uk/,Cardiff,178,Ellie Marsh,Inbound
Kelsey Interiors Inc,kelseyinteriors.co.uk,Toronto,263,Ellie Marsh,Trade show 2026
Grangerbridge Cleaning Services & Co,grangerbridgecleaningservices.com,Denver,364,Priya Raman,Trade show 2026
Shelbywood Signage LLP,www.shelbywoodsignage.co.uk,Phoenix,184,Dan Kovacs,LinkedIn scrape
Dunmoremere Physiotherapy Inc, dunmoremerephysio.co.uk ,Dublin,373,Owen Pryce,Chamber list
Westmoorridge Flooring Ltd,westmoorridgeflooring.com,Birmingham,247,Dan Kovacs,Inbound
Westmoorcrest Kitchens Group,westmoorcrestkitchens.com,Birmingham,150,Dan Kovacs,Chamber list
Penninegate Signage LLP,https://www.penninegatesignage.com,Toronto,176,Grace Osei,Trade show 2026
Ludlowmere Scaffolding Limited,https://www.ludlowmerescaffolding.com,Sheffield,294,Tom Alderton,Trade show 2026
Atlasfield Dental Ltd,atlasfielddental.co.uk,Sheffield,97,Grace Osei,Referral
Newfordford Plant Hire Ltd,newfordfordplanthire.com,Leeds,373,Dan Kovacs,Chamber list
Ivywoodmere Electrical Ltd,https://www.ivywoodmereelectrical.co.uk,Cardiff,319,Sam Wheeler,Inbound
Fenline Physiotherapy Limited,fenlinephysio.co.uk,Leeds,214,Ellie Marsh,Chamber list
Pinnacleholt Cleaning Services Ltd,pinnacleholtcleaningservices.co.uk,Austin,260,Priya Raman,Chamber list
Quietholt Insurance Brokers & Co,https://www.quietholtinsurance.com,Portland,278,Hana Sato,Chamber list
Westmoorridge Roofing Ltd,https://www.westmoorridgeroofing.co.uk,Toronto,92,Sam Wheeler,Referral
Westmoorcrest Kitchens Group,https://westmoorcrestkitchens.com/contact-us,Charlotte,179,Ellie Marsh,LinkedIn scrape
Valley Home Care,valleyhomecare.com,Cardiff,232,Ellie Marsh,Chamber list
Kelsey Physiotherapy Ltd,kelseyphysio.com,Nottingham,396,Sam Wheeler,Referral
Trentham Plumbing,https://www.trenthamplumbing.co.uk,Boston,311,Hana Sato,Trade show 2026
Cloverwick Veterinary,https://www.CLOVERWICKVETS.CO.UK/services?utm_source=list,Austin,170,Ellie Marsh,Inbound
Shelbycrest Print Inc,https://www.SHELBYCRESTPRINT.CO.UK/services?utm_source=list,Boston,300,Marcus Bright,Referral
Tarnbrookwick Security Limited,https://www.TARNBROOKWICKSECURITY.CO.UK/services?utm_source=list,Manchester,126,Tom Alderton,Chamber list
Fenford Landscaping Group,https://fenfordlandscaping.com/contact-us,Boston,238,Grace Osei,Chamber list
Ashwood Accountants Group,https://www.ashwoodaccountants.com,Toronto,335,Ellie Marsh,Inbound
Kingsholt Removals Limited,kingsholtremovals.com,Vancouver,169,Sam Wheeler,LinkedIn scrape
Quietford Fit Out & Co,https://www.quietfordfitout.com,Austin,285,Priya Raman,LinkedIn scrape
Northridge Insurance Brokers LLP,https://northridgeinsurance.co.uk/contact-us,Portland,67,Hana Sato,Referral
Cloverpath Removals Ltd,https://www.cloverpathremovals.com,Birmingham,369,Ellie Marsh,Chamber list
Ravensview HVAC Group,www.ravensviewhvac.com,Charlotte,258,Sam Wheeler,Chamber list
Jarrowford Plant Hire,https://www.jarrowfordplanthire.co.uk,Phoenix,70,Dan Kovacs,Inbound
Ashbridge Fit Out & Co, ashbridgefitout.co.uk ,Phoenix,396,Ellie Marsh,Chamber list
Kelseywood Dental Inc,https://www.kelseywooddental.co.uk,Phoenix,326,Grace Osei,Trade show 2026
Elmbridge Windows Limited,https://www.elmbridgewindows.co.uk,Sheffield,127,Priya Raman,Referral
Penninewood Garden Centre & Co,penninewoodgarden.com,Sheffield,235,Sam Wheeler,Chamber list
Harbourholt Electrical LLP,http://harbourholtelectrical.com/,Glasgow,398,Sam Wheeler,LinkedIn scrape
Harbourview Accountants LLP,harbourviewaccountants.co.uk,Belfast,57,Dan Kovacs,LinkedIn scrape
Atlasfield Accountants LLP,www.atlasfieldaccountants.co.uk,Manchester,190,Hana Sato,Chamber list
Everlycrest Veterinary Ltd,https://www.everlycrestvets.com,Portland,253,Tom Alderton,Referral
Kestrel Logistics Inc,https://www.kestrellogistics.com,Cardiff,304,Dan Kovacs,Inbound
Ashmere Garden Centre Group,https://www.ashmeregarden.com,Sheffield,34,Grace Osei,Referral
Yarrowwood Legal Group,https://www.YARROWWOODLEGAL.COM/services?utm_source=list,Glasgow,8,Hana Sato,Trade show 2026
Woldmere Dental, woldmeredental.com ,Nottingham,44,Priya Raman,Trade show 2026
Fenfield Signage & Co,https://fenfieldsignage.co.uk/contact-us,Bristol,293,Marcus Bright,Referral
Elmmere Logistics Ltd,www.elmmerelogistics.com,Nottingham,177,Tom Alderton,Referral
Harbourwick Packaging Group,https://www.harbourwickpackaging.com,Cardiff,46,Tom Alderton,LinkedIn scrape
Atlas Cleaning Services,atlascleaningservices.com,Southampton,339,Marcus Bright,LinkedIn scrape
Fairholmbridge Veterinary Ltd,https://www.fairholmbridgevets.co.uk,Denver,96,Grace Osei,Referral
Rowan Tree Care,info@rowantreecare.co.uk,Dublin,76,Nina Bell,Inbound
Ravensline Windows LLP,ravenslinewindows.co.uk,Glasgow,169,Dan Kovacs,Chamber list
Ivywood HVAC Ltd,ivywoodhvac.co.uk,Boston,402,Grace Osei,Chamber list
Elmstead Flooring LLP,https://elmsteadflooring.com/contact-us,Phoenix,90,Ellie Marsh,Inbound
Harbourmere Cleaning Services Limited,harbourmerecleaningservices.com,Belfast,165,Ellie Marsh,Trade show 2026
Ashbridge Garden Centre Ltd,http://ashbridgegarden.co.uk/,Glasgow,260,Ellie Marsh,Referral
Pinnaclemere Kitchens Ltd,https://www.PINNACLEMEREKITCHENS.COM/services?utm_source=list,Nottingham,242,Hana Sato,LinkedIn scrape
Dunmorebridge Insurance Brokers LLP,http://dunmorebridgeinsurance.com/,Leeds,389,Ellie Marsh,Trade show 2026
Merrowwood Landscaping Inc,http://merrowwoodlandscaping.com/,Toronto,210,Marcus Bright,Inbound
Ashmere Garden Centre Group, ashmeregarden.com ,Dublin,29,Nina Bell,LinkedIn scrape
Uptonwood Home Care Group,https://www.uptonwoodhomecare.com,Nottingham,266,Priya Raman,LinkedIn scrape
Grangermere Home Care,grangermerehomecare.com,Denver,317,Marcus Bright,Chamber list
Grangerstead Insurance Brokers Inc,https://www.grangersteadinsurance.com,Cardiff,143,Ellie Marsh,LinkedIn scrape
Orchardholt Flooring Ltd,https://www.ORCHARDHOLTFLOORING.COM/services?utm_source=list,Austin,334,Ellie Marsh,Trade show 2026
Cobb & Sons,coming soon,Birmingham,222,Priya Raman,Trade show 2026
Penninemere Electrical & Co,https://www.penninemereelectrical.co.uk,Phoenix,67,Grace Osei,Inbound
Harbourbridge Studio Ltd,harbourbridgestudio.co.uk,Bristol,251,Ellie Marsh,Inbound
Quietwood Groundworks Inc,https://quietwoodgroundworks.co.uk/contact-us,Toronto,135,Owen Pryce,Inbound
Ravenswood Garden Centre,ravenswoodgarden.com,Southampton,24,Owen Pryce,Trade show 2026
Ivywoodfield Security Inc,www.ivywoodfieldsecurity.co.uk,Cardiff,281,Priya Raman,Referral
Jarrowridge Print Ltd,https://jarrowridgeprint.com/contact-us,Austin,396,Marcus Bright,Trade show 2026
Penninebridge Physiotherapy LLP, penninebridgephysio.co.uk ,Charlotte,213,Ellie Marsh,Trade show 2026
Kelsey Physiotherapy Ltd,kelseyphysio.com,Manchester,51,Nina Bell,Trade show 2026
Quietfield Windows,https://www.quietfieldwindows.com,Denver,86,Sam Wheeler,Trade show 2026
Quietpath Packaging LLP,quietpathpackaging.co.uk,Charlotte,293,Tom Alderton,Referral
Yarrowmere Security Ltd,https://www.yarrowmeresecurity.com,Birmingham,369,Grace Osei,Trade show 2026
Stonewick Removals Ltd,http://stonewickremovals.com/,Portland,302,Marcus Bright,LinkedIn scrape
Quarrywood Security & Co,http://quarrywoodsecurity.com/,Nottingham,67,Ellie Marsh,Trade show 2026
Ludlowview Landscaping Group, ludlowviewlandscaping.co.uk ,Belfast,162,Tom Alderton,LinkedIn scrape
Quarrypath Groundworks Ltd,http://quarrypathgroundworks.com/,Newcastle,291,Grace Osei,LinkedIn scrape
